Year,SurveyID,Presence,sLatitude,sLongitude
2025,102001,1,N-34-50-25.91,W-87-42-23.71
2025,102003,1,N-34-48-11.60,W-87-44-15.12
2025,102005,0,N-34-12-24.41,W-86-30-14.80
2025,102007,1,N-34-52-02.02,W-86-14-56.25
2025,102009,1,N-34-17-30.78,W-85-55-24.28
2025,102011,1,N-33-38-38.55,W-85-45-37.09
2025,102013,1,N-33-50-42.06,W-86-10-31.53
2025,102015,1,N-33-41-17.36,W-86-52-02.03
2025,102017,1,N-33-32-07.49,W-87-00-55.40
2025,102019,1,N-33-29-17.06,W-88-12-01.57
2025,102021,0,N-32-16-09.29,W-87-49-34.50
2025,102023,1,N-32-47-04.05,W-87-32-45.45
2025,102025,0,N-32-42-54.02,W-86-40-15.73
2025,102027,1,N-32-18-11.13,W-85-33-09.74
2025,102029,0,N-32-09-56.93,W-85-05-06.30
2025,102031,1,N-31-00-49.63,W-85-12-39.22
2025,102033,1,N-31-35-10.49,W-86-15-53.44
2025,102035,0,N-31-00-43.10,W-86-52-44.45
2025,102037,1,N-31-06-40.40,W-87-49-52.00
2025,102039,0,N-31-39-22.04,W-88-15-37.00
2025,102041,1,N-30-16-11.91,W-87-31-40.69
2025,102043,1,N-33-08-14.50,W-87-06-59.58
2025,102045,1,N-34-09-04.88,W-87-46-23.31
2025,102047,1,N-33-09-49.37,W-87-49-18.99
2025,102049,1,N-32-48-02.01,W-87-46-26.69
2025,102051,1,N-32-45-59.34,W-85-43-43.17
2025,102053,1,N-31-45-52.58,W-87-45-07.56
2025,102055,1,N-31-39-42.62,W-85-38-47.65
2025,102057,1,N-34-25-13.79,W-87-23-19.29
2025,102059,1,N-33-17-19.77,W-88-01-06.58
2025,102061,1,N-33-43-28.28,W-86-25-05.52
2025,102063,1,N-32-25-33.21,W-87-32-05.75
2025,102065,1,N-32-27-44.02,W-85-52-08.40
2025,102067,1,N-31-25-22.02,W-86-16-11.81
2025,102069,1,N-30-56-46.26,W-88-21-27.78
2025,102071,0,N-34-48-09.18,W-87-22-56.47
2025,102073,1,N-34-59-35.42,W-86-04-54.78
2025,102105,0,N-34-12-28.23,W-86-29-12.44
2025,102109,1,N-34-17-45.40,W-85-55-42.34
2025,102111,0,N-33-39-08.17,W-85-43-31.99
2025,102201,1,N-34-18-45.02,W-88-04-15.25
2025,102203,1,N-34-58-05.54,W-86-42-14.82
2025,102205,0,N-33-41-45.13,W-88-11-50.99
2025,102207,0,N-33-52-54.68,W-86-24-29.01
2025,102209,0,N-33-10-44.55,W-85-29-30.34
2025,102211,1,N-32-29-02.86,W-86-34-22.42
2025,102213,1,N-31-17-51.29,W-88-15-51.66
2025,102215,1,N-31-55-43.43,W-86-11-42.32
2025,102217,1,N-30-29-16.84,W-88-23-06.89
2025,102751,0,N-33-35-50.32,W-86-12-55.75
2025,102753,1,N-31-22-41.30,W-87-43-33.68
2025,103001,1,N-64-25-25.71,W-141-17-43.85
2025,103003,1,N-65-17-20.96,W-146-25-37.33
2025,103005,1,N-65-34-03.38,W-148-30-37.38
2025,103007,1,N-62-48-34.51,W-143-50-02.74
2025,103009,1,N-62-35-28.45,W-144-40-04.26
2025,103011,0,N-63-07-41.62,W-146-20-24.59
2025,103013,1,N-63-24-03.32,W-148-56-51.57
2025,103015,1,N-63-25-58.34,W-150-18-07.48
2025,103017,1,N-61-24-42.96,W-149-52-41.47
2025,103019,1,N-59-34-21.16,W-151-20-17.94
2025,103021,1,N-58-22-08.30,W-134-35-11.96
2025,103023,1,N-55-36-10.68,W-133-05-06.22
2025,103025,1,N-59-15-51.17,W-135-27-36.22
2025,103029,0,N-61-45-37.03,W-148-44-01.83
2025,103031,0,N-57-41-47.98,W-152-34-00.48
2025,103041,0,N-64-33-50.41,W-147-42-20.41
2025,103051,1,N-61-07-09.84,W-145-40-24.58
2025,103053,1,N-61-49-38.56,W-147-26-53.91
2025,103055,1,N-61-48-32.98,W-145-12-09.55
2025,103101,0,N-64-05-49.84,W-141-40-27.67
2025,103113,0,N-62-35-51.28,W-150-15-59.12
2025,103115,0,N-63-41-28.52,W-149-34-31.79
2025,103117,0,N-61-20-14.99,W-149-15-36.29
2025,103119,1,N-59-44-56.59,W-149-25-01.03
2025,103121,0,N-56-49-49.08,W-132-55-17.46
2025,103123,0,N-55-41-14.53,W-132-30-16.68
2025,103125,0,N-59-32-27.72,W-139-50-46.91
2025,103131,0,N-57-32-08.07,W-152-27-04.22
2025,103191,1,N-55-07-18.61,W-162-42-18.27
2025,103213,0,N-62-15-10.71,W-150-15-40.99
2025,103217,0,N-61-37-33.69,W-149-50-05.69
2025,103219,0,N-59-27-43.93,W-151-29-57.60
2025,103221,1,N-56-34-53.99,W-132-46-26.18
2025,103313,0,N-62-20-08.84,W-150-35-07.29
2025,103319,0,N-59-20-14.74,W-151-19-31.26
2025,103321,0,N-59-31-05.46,W-139-17-08.32
2025,103401,1,N-61-23-20.26,W-150-00-19.79
2025,103403,1,N-66-37-24.78,W-150-40-15.98
